가게명,주메뉴,동,상세주소,평점,메뉴목록
빽다방 잠실대교북단점,커피전문점,자양동,서울 광진구 자양로 48 1층,4.0,
빽다방 자양전통시장점,커피전문점,자양동,서울 광진구 자양로15길 52 1층 102호,5.0,
카페 베이지크,카페,자양동,서울 광진구 뚝섬로24길 21 1층,4.9,"베이지크커피(5,000원), 더블치즈햄에그샌드위치(베이지크샌드위치)(7,500원), 아메리카노(3,000원), 카페라떼(4,000원), 아인슈페너(4,500원), 에이드(5,500원)"
메가MGC커피 신자초사거리점,커피전문점,자양동,서울 광진구 뚝섬로 596 1층,5.0,
메가MGC커피 자양시장점,커피전문점,자양동,서울 광진구 자양로15길 18 혜성빌딩 1층,2.6,
우주로캣,고양이카페,자양동,서울 광진구 아차산로 242 3층,2.5,"입장+간식+음료(13,000원)"
줄리앤몰리,디저트카페,자양동,서울 광진구 뚝섬로59길 67 1층,4.7,"아메리카노(2,500원), 캐릭터마카롱(3,500원), 도시락케이크(변동가격), 레터링케이크(홀)(변동가격), 마카오에그타르트(3,200원)"
옐로브릭,카페,자양동,서울 광진구 능동로3라길 4 1층,5.0,"크로와상(2,700원)"
토끼의시골집,카페,자양동,서울 광진구 뚝섬로46길 39 1층,4.9,"여유로운티타임(26,500원), 가벼운티타임(14,500원), 가벼운커피타임(12,500원), 주차안내(변동가격)"
사이이커피,카페,자양동,서울 광진구 동일로18길 11 1층,4.7,"아인슈페너(5,500원), 크림라떼(6,000원), 사이이라떼(6,300원), 민트 아메리카노(5,000원), 민트 라떼(5,000원), 이메리카노(4,000원), 카페라떼(4,500원), 바닐라라떼(5,000원), 연유라떼(5,000원), 모카라떼(5,000원), 아이스티(4,000원), 수제 발로나 초코라떼(4,500원), 쑥라떼(5,500원), 미도리라떼(5,500원), 얼그레이 밀크티(5,000원), 자몽소다(5,000원), 레몬소다(5,000원), 마르코폴로(6,500원), 웨딩임페리얼(6,500원), 쿨민트(4,800원), 얼그레이(4,800원), 크림슨펀치(4,800원), 루이보스 빌베리(4,800원)"
넥스트에디션 건대1호점,테마카페,자양동,서울 광진구 아차산로 192,3.2,
커피나인 건대,카페,자양동,서울 광진구 동일로18길 107 1층 107~109호,4.5,"아메리카노(4,000원), 라떼(5,000원), 나인슈페너(6,000원), 명동크림프레소(5,000원)"
유지,카페,자양동,서울 광진구 뚝섬로 461 롯데캐슬리버파크 시그니쳐 상가6동 1층 5호,4.7,"Coffee(4,300원)"
공백,카페,자양동,서울 광진구 자양번영로3길 37 1층,4.9,"드립(4,000원)"
메가MGC커피 신양초사거리점,커피전문점,자양동,서울 광진구 능동로 49 1층 101~102호,2.2,"（ICE）메가리카노(3,300원), 복숭아아이스티(3,800원), 자몽에이드(4,500원), 유니콘프라페마카롱(2,600원), 아이스 허니 와앙 슈(3,300원), 감자빵(4,500원), 왕메가아이스티(4,700원), （HOT）아메리카노(2,200원), （ICE）아메리카노(2,500원), 딸기요거트스무디(4,900원), （ICE）딸기라떼(4,700원), （ICE）곡물라떼(4,300원), （ICE）고구마라떼(4,500원), 메가디저트인기세트(5,900원), 감자빵세트（HOT）(6,200원), 감자빵세트（ICE）(6,500원), 달콤달콤해세트(6,800원), 아침은내가챙겨줄게세트(6,800원), 달콤한하루세트(6,500원), 달콤한마카롱세트(14,400원), 메가베리 아사이볼(4,900원), 와앙메리칸 뽀득 핫도그(4,600원), 버터버터 팥슈크림 페스츄리(4,800원), 햄앤치즈샌드위치(3,400원), 할메가미숫커피(3,900원), 왕메가초코(5,400원), 제로 복숭아 아이스티(3,800원), 골드망고스무디(4,900원), (HOT) 헛개리카노(2,900원), (ICE) 헛개리카노(2,900원)"
빽다방 건대로데오점,커피전문점,자양동,서울 광진구 아차산로 220 성수송천빌딩 1층 108호,,
소낙,카페,자양동,서울 광진구 자양번영로1길 24 1층,5.0,
읍천리382 건대입구역점,커피전문점,자양동,서울 광진구 아차산로 214 1층,4.0,"미숫가루(4,500원), 딸기밭라떼(5,900원), 불고기샌드위치(7,500원)"
랭보,카페,자양동,서울 광진구 동일로18길 96 2층,,"치즈케이크(변동가격), 프렌치토스트(변동가격), 홀케이크(변동가격)"
라이트레인,카페,자양동,서울 광진구 아차산로 200 커먼그라운드 3층,4.2,"에스프레소 (ICE)(4,500원), 아메리카노(4,500원), 카페라떼(5,000원), 페퍼민트(4,500원), 허브 오렌지 자몽(6,000원)"
보리스,카페,자양동,서울 광진구 아차산로 290 1층,4.5,"LEMON SHOT(5,500원), 보리스쿠키들(2,800원), 보리스제철쿠키(4,200원), 보리스쿠키백🛍️(1,200원), 보리스기프트박스🎁(1,500원)"
트립티 뚝섬한강공원점,카페,자양동,서울 광진구 강변북로 2202 뚝섬전망복합문화시설 1층,4.4,"아메리카노(3,200원), 카페라떼(3,700원), 디카페인더치커피(3,500원), 에스프레소(3,200원), 빅메리카노(3,700원), 더치커피(3,500원), 카푸치노(3,900원), 바닐라라떼(3,900원), 헤이즐넛라떼(3,900원), 민트라떼(3,900원), 카라멜마끼아또(4,200원), 카페모카(4,200원), 연유라떼(4,200원), 말차라떼(3,800원), 초코라떼(3,800원), 밀크티라떼(3,800원), 고구마라떼(4,200원), 수제딸기라떼(4,200원), 캐모마일(3,500원), 페퍼민트(3,500원)"
카페더유리,카페,자양동,서울 광진구 자양번영로4길 12 1층 1호,5.0,"아메리카노(3,800원), 카페라떼(4,500원), 바닐라라떼(5,000원), 아인슈페너(5,800원), 흑임자슈페너(5,800원), 딸기숑숑라떼(6,000원), 녹차라떼(5,000원), 초코라떼(5,000원), 레몬차(5,500원), 자몽차(5,500원), 자몽허니블랙티(6,000원), 레몬에이드(6,000원), 자몽에이드(6,000원), 딸기에이드(6,000원), 오레오스모어쿠키(3,800원), 로투스스모어쿠키(3,800원), 얼그레이크림치즈쿠키(3,800원), 브라우니(5,000원)"
다트프린스 건대점,테마카페,자양동,서울 광진구 아차산로 242 2층,3.6,
컴포즈커피 건대양꼬치거리점,커피전문점,자양동,서울 광진구 동일로18길 62 1층,4.0,"아이스아메리카노 TAKE OUT(1,500원)"
카페문,카페,자양동,서울 광진구 뚝섬로24길 26 1층,5.0,"아메리카노(3,500원), 에스프레소(3,500원), 카페라떼(4,000원), 카푸치노(4,000원), 바닐라 라떼(4,500원)"
메가MGC커피 광진자양뚝섬로점,커피전문점,자양동,서울 광진구 뚝섬로52길 7 1층 101~102호,5.0,"（ICE）메가리카노(3,300원), 복숭아아이스티(3,000원), 자몽에이드(3,500원), 유니콘프라페마카롱(2,100원), 아이스 허니 와앙 슈(2,400원), 감자빵(3,500원), 메가디저트인기세트(4,400원), 감자빵세트（HOT）(5,200원), 감자빵세트（ICE）(5,500원), 달콤달콤해세트(5,800원), 아침은내가챙겨줄게세트(5,800원), 달콤한하루세트(5,500원), 달콤한마카롱세트(12,600원), 기분끌올 저당 세트(5,500원), 달콤함을 저당 세트(7,000원), 저당으로 힐링 세트(7,900원), 기분아 왕메가좋아저당 세트(6,900원), 메가베리 아사이볼(3,900원), 와앙메리칸 뽀득 핫도그(3,600원), 버터버터 팥슈크림 페스츄리(3,800원), 햄앤치즈샌드위치(2,400원), 할메가미숫커피(2,900원), 왕메가초코(4,400원), 왕메가아이스티(3,900원), 제로 복숭아 아이스티(3,000원), 골드망고스무디(3,900원), (HOT) 헛개리카노(2,400원), (ICE) 헛개리카노(2,400원), 왕메가 헛개리카노(3,400원), 제로 부스트 에이드(3,000원)"
로버커피바,커피전문점,자양동,서울 광진구 자양번영로 19 1층,4.8,"아메리카노(4,000원), 카페라떼(4,500원), 흑임자라떼(5,500원)"
메가MGC커피 건대입구역점,커피전문점,자양동,서울 광진구 아차산로 224 1층,,"아이스 아메리카노(2,000원)"
청담커피 자양점,커피전문점,자양동,서울 광진구 뚝섬로52길 41 1층,5.0,"아메리카노 테이크아웃(1,500원)"
멜티도나메리고라운드,카페,자양동,서울 광진구 동일로20길 36 2층,4.5,"쿠모밀크티(6,500원), 시로이말차라테(6,800원), 홋토말차라테(6,500원), 로얄밀크티(6,500원), 티라미수(7,000원)"
이디야커피 자양동점,커피전문점,자양동,서울 광진구 자양로 46 1층,4.1,"ICED 슈크림카라멜 라떼(5,200원), ICED 아메리카노(3,200원), 까르보나라 구운 주먹밥(2,500원), 허니 카라멜 브레드(5,700원), 크로크무슈(5,200원), 수플레 치즈 조각케익(5,400원), 팥인절미 빙수(1인)(6,800원), 디카페인 (R)바닐라 오트 콜드브루(5,800원), ICED 딸기말차 라떼(4,800원), ICED 감귤히비스커스티(4,600원), ICED 꿀 화이트 아메리카노(4,200원), ICED 꿀 미숫커피(4,200원), (변우석)스틱커피 오리지널 아메리카노 20T(5,200원), (변우석)스틱커피 오리지널 아메리카노 80+20T(16,900원), (변우석)스틱커피 골드블렌드 30T(5,900원), (변우석)스틱커피 골드블렌드 100T(15,200원), HOT 아메리카노(3,200원), HOT 시그니처 라떼(5,000원), ICED 시그니처 라떼(5,000원), HOT 슈크림카라멜 라떼(5,200원), ICED 달달커피(3,200원), (L)ICED 넛츠 크림 라떼(5,000원), HOT 연유 카페 라떼(4,800원), ICED 연유 카페 라떼(4,800원), HOT 카페 라떼(4,500원), ICED 카페 라떼(4,500원), HOT 카페 모카(4,800원), ICED 카페 모카(4,800원), HOT 카라멜 마끼아또(4,800원), ICED 카라멜 마끼아또(4,800원)"
컴포즈커피 자양하늘채점,커피전문점,자양동,서울 광진구 뚝섬로 671 1층,4.2,"붕어는 T입니다(6,800원), 빅포즈 아메리카노(3,500원), 아메리카노(2,000원), 카라멜마끼아또(3,800원), 빅포즈 아샷추(4,900원), 빅포즈 디카페인 아메리카노(4,500원), 디카페인 아메리카노(3,000원), 커피밀크쉐이크(5,000원), 오렌지당근주스(4,300원), 바질치아바타샌드위치(4,000원), 리얼믹스커피(2,900원), 빅포즈 리얼믹스커피(4,400원), 제로 리얼믹스커피(3,300원), 빅포즈 제로 리얼믹스커피(4,800원), 바나나 리얼믹스커피(3,500원), 빅포즈 바나나 리얼믹스커피(5,000원), 제로 바나나 리얼믹스커피(4,000원), 빅포즈 제로 바나나 리얼믹스커피(5,500원), 레몬 사샷추(4,000원), 빅포즈 레몬 사샷추(5,500원), 오렌지 사샷추(4,200원), 빅포즈 오렌지 사샷추(5,700원), 레몬 사샷추 콜드브루(5,500원), 오렌지 사샷추 콜드브루(5,700원), 헨젤과 프레첼(5,200원), 라떼는말차야(5,200원), 커피엔 역시 커피빵(4,800원), 묻고 더블샷으로가(6,700원), 쫀득카노(6,800원), 리얼믹스커피인가 봄(4,600원)"
누모(cafe numo),카페,자양동,서울 광진구 뚝섬로34길 67 B동 1층 105호,4.4,"아메리카노(2,800원), 카페라떼(3,800원), 카푸치노(4,000원), 카페모카(4,000원), 바닐라라떼(4,300원), 카라멜마끼아또(4,500원), 연유라떼(4,500원), 콜드브루 (ONLY ICE)(3,500원), 콜드브루라떼 (ONLY ICE)(4,000원), 콜드브루돌체라떼 (ONLY ICE)(4,500원), 미숫가루라떼(4,000원), 고구마라떼(4,300원), 초코라떼(4,300원), 말차라떼(4,500원), 흑임자라떼(4,800원), 말차초코라떼(4,800원), 딸기라떼(4,800원), 자몽차(4,500원), 레몬차(4,500원), 매실 애플티(4,800원), 오미자 블랙티(4,800원), 요거트 스무디(5,000원), 블루베리 요거트스무디(5,500원), 딸기 요거트스무디(5,500원), 망고 요거트스무디(5,500원), 자몽에이드(5,000원), 레몬에이드(5,000원), 청포도에이드(5,000원)"
백억커피 건대로데오점,커피전문점,자양동,서울 광진구 동일로20길 82,1.0,"[900원의 행복](900원), 어니언 탕종 베이글 & 대파 크림치즈(6,000원), 무화과 탕종 베이글 & 무화과 크림치즈(6,000원), 블루베리 탕종 베이글 & 블루베리 크림치즈(6,000원), 아망추(6,400원), 아샷추(4,900원), 아콜추(5,900원), 백억 슈퍼 드링크(5,900원), [일억 부자 세트](11,500원), [십억 부자 세트](16,900원), [백억 부자 세트](31,900원), [BEST][아메리카노 4캔](15,000원), [카페라떼 4캔](18,600원), [바닐라라떼 4캔](20,600원), [연유라떼 4캔](20,600원), [백억커피 4캔](20,600원), [아이스티 4캔](16,600원), [수박주스(착즙) 4캔](24,600원), [파인사과주스(착즙) 4캔](24,600원), [냉장 보관용] 아메리카노(11,500원), [냉장 보관용] 디카페인 아메리카노(13,500원), [하루 10개 한정세트] 아메리카노 4캔+백억떡 4개(20,000원), [하루 10개 한정세트] 아이스티 4캔+백억떡 4개(22,000원), [너무 많아서 놀라지마세욤] 카라멜 팝콘(8,000원), [눈 깜빡하면 없어져 있을꺼에요] 버터구이 오징어 몸통(6,000원), [쇼파에서 먹으면 등짝 스메싱~] 칠리치즈나초(6,000원), 플레인 핫도그(5,500원), 칠리 치즈 핫도그(6,000원), 백억 김치볶음밥(7,000원), 백억 새우볶음밥(7,000원)"
커스텀커피 건대점,카페,자양동,서울 광진구 능동로 69 1층,3.3,"아메리카노(3,800원), 카페 라떼(4,800원)"
아드프커피로스터스,커피전문점,자양동,서울 광진구 능동로3다길 1 1층,4.7,"자양동크림라떼(6,000원), 커스터드푸딩(5,000원), 햄치즈크로스트(5,000원), 브루잉(변동가격), 퍼플썸머에이드(6,000원), 그린썸머에이드(6,000원), 오늘의 콜드브루(4,100원)"
투썸플레이스 건대입구CGV스윗바점,커피전문점,자양동,서울 광진구 아차산로30길 26 3층,3.2,
메가MGC커피 잠실대교북단점,커피전문점,자양동,서울 광진구 자양로 49 1층,4.0,
주민커피,카페,자양동,서울 광진구 자양로13길 27 1층,,"아메리카노(hot)(2,500원), 카페라떼(3,200원), 플랫화이트(3,200원), 카푸치노(3,300원), 카페모카(3,700원), 카라멜마끼아또(3,700원), 바닐라라떼(3,700원), 콜드브루(4,000원), 콜드브루라떼(4,500원), 헤이즐넛커피(3,000원), 헤이즐넛라떼(3,500원)"
커피농장의하루,카페,자양동,서울 광진구 능동로3다길 1 1층,5.0,"아메리카노(3,800원), 카페라떼(4,500원), 자양동 크림 라떼(6,000원), 얼그레이 밀크티(5,500원), 몬스터 쿠키(3,000원)"
이디야커피 건대스타시티점,커피전문점,자양동,서울 광진구 아차산로 272 1층 5호,4.8,
40데이즈 공유공간 공감카페,카페,자양동,"서울 광진구 자양번영로8길 17 B101호, B102호",5.0,"아메리카노(3,000원), 카페라떼(3,500원), 아이슈페너(5,000원), 핸드드립커피(5,500원), 바닐라라떼(4,000원), 카페모카(4,000원), 카라멜 마끼아또(4,000원), 아몬드 카페라떼(5,000원), 녹차(4,000원), 홍차(4,000원), 캐모마일(4,000원), 루이보스(4,000원), 히비스커스(4,000원), 마살라 차이(4,000원), 녹차라떼(5,000원), 쑥라떼(5,000원), 레몬 블랜딩티(5,000원), 스페셜티 (인도산 다즐링티)(5,000원), 토마토 스파게티 세트(15,000원), 크로크무슈(6,000원)"
요거트월드 건대점,디저트카페,자양동,서울 광진구 자양번영로13길 3 1층,2.6,딸기폭탄300g(변동가격)
더퓨러 건대CGV점,생과일전문점,자양동,서울 광진구 아차산로30길 26 1층,5.0,"슈퍼케일(4,300원), 샐러리 고(4,300원), 코코케일(4,300원), 마나나(4,300원), 베리 케롯(4,300원), 캐롯 킹(4,300원), 비트 잇(4,300원), 러블리 비트(4,300원), 망고매직(5,100원), 파인비치(5,100원), 썸머 스트로베리(5,100원), 베리 바나나(5,100원), 아메리카노(2,500원), 카페라떼(3,000원), 카푸치노(3,000원), 카페모카(3,500원), 바닐라 라떼(3,500원), 그린티 라떼(3,500원), 밀크티 라떼(3,500원), 카라멜 마키아토(3,500원)"
정말커피,카페,자양동,서울 광진구 자양로13다길 33 1층,4.3,
미래명가,카페,자양동,서울 광진구 자양로15길 108 1층,5.0,"카페모카(3,700원), 바닐라라떼(3,900원), 아메리카노(2,000원), 에스프레소(2,000원), 카페라떼(2,900원), 카라멜마끼아또(3,900원), 녹차라떼(4,300원), 더블초코라떼(4,100원), 오곡라떼(4,300원), 고구마라떼(4,300원), 딸기라떼(4,800원), 페퍼민트(3,800원), 얼그레이(3,800원), 캐모마일(3,800원), 대추생강차(4,500원), 유자차(3,800원), 청포도에이드(4,100원), 패션후르츠에이드(4,300원), 블루레몬에이드(4,300원), 아이스티 (레몬, 복숭아)(3,000원), 플레인요거트(4,100원), 애플망고요거트(4,800원), 키위요거트(4,300원), 베리믹스요거트(4,300원), 수제팥양갱 (팥, 호박, 말차)(11,000원), 수제과일양갱 (배, 무화과)(14,000원), 붕어절편구이(35,000원)"
헤이티 건대점,카페,자양동,서울 광진구 동일로20길 50 1층,4.6,"패션후르츠블라스트(5,400원), 레드자몽봄(6,900원), 그린레몬브리즈(5,400원), 로스티드브라운슈가보보밀크티(7,500원), 브라운슈가보보밀크티(6,900원), 로스티드브라운슈가보보밀크(오리지널)(6,900원), 클라우드밀트키(6,900원), 보보밀크티(6,400원), 보보팝밀크티(6,400원), 퓨어그린티(3,900원)"
멜팅버터,카페,자양동,서울 광진구 자양번영로1길 35 1층,4.7,"멜팅크림 라떼(6,000원), 레몬파운드(14,500원), 아메리카노(4,000원), 카페라떼(4,500원), 바닐라빈라떼(5,000원), 멜팅초코(5,500원), 밀크티(5,500원), 햄치즈바게트샌드위치(8,500원), 잠봉뵈르(7,500원), 바스크치즈케이크(6,500원), 올리브빵(3,000원), 바닐라파운드(3,000원), 치즈바게트(4,500원), 오자몽생크림케이크(7,500원), 마롱바스크치즈케이크(8,500원)"
카페인모아,카페,자양동,서울 광진구 아차산로 292 1층,4.6,"아메리카노(3,500원), 카페라떼(4,000원), 바닐라라뗴(4,300원), 모카(4,500원), 녹차 더블샷(5,000원)"
커피뚝섬,카페,자양동,서울 광진구 동일로 34 강변빌딩 1층,5.0,"뚝섬커피(HOT)(4,000원), 카페라떼(HOT)(4,500원), 오곡라떼(HOT)(5,000원), 플레인요거트(5,000원), 수제청귤에이드(6,000원)"
블랙스미스,카페,자양동,서울 광진구 뚝섬로32길 25 1층,5.0,"콜드브루(ICE)(4,000원), 콜드브루라떼(ICE)(4,500원), 아인슈페너(5,000원), 오레그랏세(ICE)(5,500원), 아메리카노(2,800원), 에스프레소토닉(ICE)(4,800원), 클래식카푸치노(HOT)(3,800원), 카페라떼(3,500원), 카페모카(4,500원), 바닐라라떼(4,200원), 우지말차라떼(4,600원), 초코라떼(4,700원), 밀크티라떼(4,500원), 레몬사와에이드(ICE)(4,800원), 자몽사와에이드(ICE)(4,800원), 에스프레소*블랜딩 설탕 첨가(1,800원), 블랙스미스*시그니처 에스프레소(3,800원), 콘파나*아이스크림 에스프레소(3,000원), 로마노*레몬 과일 에스프레소(3,000원), 비체린*이탈리아 전통 초코렛(2,800원), 에로스*밀크티 에스프레소(3,000원), 그라니타*레몬 슬러시 에스프레소(3,500원), 에로스(4,500원), 얼그레이프렌치블루(4,500원), 웨딩임페리얼(4,500원)"
빽다방 구의역점,커피전문점,자양동,서울 광진구 아차산로 380 1층,3.8,"아이스티샷추가(아샷추)(3,800원), 아이스티 망고 추가(아망추)w노란빨대(4,300원), 바닐라라떼（ICED）(4,200원), 미숫가루(우유)(4,500원), 사라다빵(3,900원), 고메버터소금빵(3,000원), 빽사이즈 아메리카노（ICED）(3,500원), 빽사이즈 아이스티샷추가（ICED）(4,800원), 카라멜마키아또（ICED）(4,000원), 딸기라떼(ICED)w노란빨대(4,300원), 밀크티（ICED）(4,000원), 딸기바나나빽스치노（베이직）(4,500원), 블루베리요거트스무디(5,800원), 빽그램핫도그(4,600원), 체리주스(4,400원), 체리콕콕(4,000원), 쿨라임에이드(4,300원), 꿀 아메리카노(HOT)(2,800원), 꿀 아메리카노(ICED)(3,300원), 헤이즐넛 아메리카노(HOT)(2,300원), 헤이즐넛 아메리카노(ICED)(2,800원), 헤이즐넛라떼(HOT)(4,000원), 헤이즐넛라떼(ICED)(4,000원), 패션후르츠스무디(4,300원), 망고패션스무디(4,500원), 빽사이즈 원조커피（ICED）(4,000원), 빽사이즈 원조커피 제로슈거（ICED）(4,000원), 빽사이즈 달콤아이스티（ICED）(4,300원), 빽사이즈 아이스티 망고추가w노란빨대(6,300원), 빽사이즈 아이스티 샷.망고추가w노란빨대(6,800원)"
카페512,카페,자양동,서울 광진구 뚝섬로33길 34 1층 101호,4.0,"아메리카노(3,500원), 카페라떼(4,000원), 레몬차(4,500원), 생강차(3,500원), 토마토주스(4,500원)"
리셋커피아일랜드,카페,자양동,서울 광진구 동일로20길 68 1층,4.5,"리셋커피 (TO GO)(5,000원), 아일랜드커피 (TO GO) (ONLY ICE)(5,500원), 에스프레소(4,000원), 아메리카노 (TO GO)(3,500원), 콜드브루 (TO GO)(3,500원), 플랫화이트 (TO GO)(4,000원), 카페라떼 (TO GO)(4,500원), 콜드브루라떼 (TO GO)(4,500원), 샤케라또 (TO GO) (ONLY ICE)(4,500원), 바닐라빈 라떼 (TO GO)(5,000원), 헤이즐넛 라떼 (TO GO)(5,000원), 카페모카 (TO GO)(5,000원), 아인슈페너 (TO GO) (ONLY ICE)(5,500원), 매스초코라떼 (TO GO)(5,500원), 말차라떼 (TO GO)(5,500원), 말차비앙코 (TO GO) (ONLY ICE)(5,500원), 레몬에이드 (TO GO)(5,500원), 복자에이드 (TO GO)(5,500원), 레몬차 (TO GO)(5,000원), 복자차 (TO GO)(5,000원), 허브차 (TO GO)(5,000원), 망고아이스티 (TO GO)(5,000원), 애플시나몬티 (TO GO)(5,500원)"
츄로스커피&아이스크림,디저트카페,자양동,서울 광진구 뚝섬로 620,4.8,
빽다방 건대동문회관점,커피전문점,자양동,서울 광진구 아차산로36길 5 1층,,"아메리카노 (ICED)(2,000원), 아메리카노 (HOT)(1,500원), 유자티 (ICED)(4,000원), 오렌지자몽블랙티 (HOT)(3,500원), 노말한 소프트(2,000원)"
에스프레소바시,커피전문점,자양동,"서울 광진구 아차산로 345 래미안프리미어팰리스 1층 123~124,134호",3.2,"에스프레소(4,500원), 아메리카노(4,500원), 플랫 화이트(5,700원), 카페라떼(5,700원), 카페 바닐라라떼(6,200원), 콜드브루(6,000원), 카페오레(6,600원)"
홀리앤졸리,디저트카페,자양동,서울 광진구 아차산로30길 7 105호,4.0,
디저트르모어 룸원카이막,디저트카페,자양동,서울 광진구 아차산로40길 37 1층 103호,4.8,"카이막(하프)(7,900원), 바클라바(2ps)(5,900원), 시미트(튀르키예식 베이글)(3,300원), 에크멕(튀르키예식 바게트)(3,300원), 슈즈메요거트(5,500원), 할랄식 우유푸딩(변동가격), 차이(튀르키예 홍차)(3,800원), 발르슈트(4,500원)"
마스터키 건대로데오점,테마카페,자양동,서울 광진구 동일로20길 98 지하1층,3.8,"2명(44,000원), 3명(60,000원), 4명(72,000원), 5명(90,000원)"
노기믹카페,카페,자양동,서울 광진구 아차산로44길 25 1층,5.0,
고망고 건대1호점,생과일전문점,자양동,서울 광진구 아차산로30길 8 1층 2호,4.7,"1L 망고(4,800원), 망고쥬스(2,900원), 코코넛 콩카페(2,800원), 1L 아메리카노(3,000원), 1L 카페라떼(4,000원)"
데이오프,카페,자양동,서울 광진구 동일로4길 43,4.5,"americano(4,000원), flat white(4,500원), cafe latte(4,500원), vanilla bean latte(5,000원), cold brew(5,000원)"
커피데스크 영동대교북단점,커피전문점,자양동,서울 광진구 동일로 56 1층 705호,3.0,"[SOFT]북해도 우유 아이스크림(7,500원), 딥 초콜릿 아이스크림(7,300원), 통벌집 아이스크림(18,700원), [BEST]인절미 눈꽃 우아빙수(20,000원), [BEST]데스크 크림라테(6,500원), 수제 오리지날 버터바(4,000원), [BEST] 페레로로쉐 마틸다 초콜릿케이크(9,500원), 카페라테(5,500원), 생과일 아사이볼(10,500원), 바나나 푸딩 보틀케이크(8,000원), 생크림 딸기 라테(6,900원), 말차 딸기 라테(7,200원), 딸기레몬에이드(6,500원), 익스트림 딸기 스무디(7,200원), 퀸아망(6,900원), 초코크림 소라빵(6,900원), 우유 크림 소라빵(6,900원), 머쉬룸 빵 수프(8,000원), 수제 그래놀라(9,500원), 초코 딸기 생크림 홀케이크(35,000원), 딸기 와르르 보틀케이크(8,500원), 프리미엄 애플파이(9,000원), [BEST] 바스크 치즈 케이크(7,300원), 로스티드 피칸파이(7,800원), 얼그레이 갸또 쇼콜라(8,800원), 리얼 쇼콜라 타르트(8,800원), 보틀케이크 기프트박스(26,000원), 바스크 치즈 홀케이크(2호)(50,000원), 생딸기 아이스크림(S)(8,800원), 말차 아이스크림(7,300원)"
컴포즈커피 자양전통시장점,커피전문점,자양동,서울 광진구 자양로15길 43 1층,4.9,"커피&와플(5,000원), 커피 2잔&와플(7,000원), 빅포즈 아메리카노(3,500원), 헤이즐넛라떼(3,800원), 플레인밀크쉐이크(4,700원), 팥절미밀크쉐이크(5,000원), 리얼초코자바칩프라페(4,500원), 블루베리스무디(4,300원), 시나몬카라멜와플(4,000원), 뉴욕치즈케익(4,000원), 리얼믹스커피(2,900원), 빅포즈 리얼믹스커피(4,400원), 제로 리얼믹스커피(3,300원), 빅포즈 제로 리얼믹스커피(4,800원), 바나나 리얼믹스커피(3,500원), 빅포즈 바나나 리얼믹스커피(5,000원), 제로 바나나 리얼믹스커피(4,000원), 빅포즈 제로 바나나 리얼믹스커피(5,500원), 레몬 사샷추(4,000원), 빅포즈 레몬 사샷추(5,500원), 오렌지 사샷추(4,200원), 빅포즈 오렌지 사샷추(5,700원), 레몬 사샷추 콜드브루(5,500원), 오렌지 사샷추 콜드브루(5,700원), 헨젤과 프레첼(5,200원), 라떼는말차야(5,200원), 커피엔 역시 커피빵(4,800원), 묻고 더블샷으로가(6,700원), 쫀득카노(6,800원), 모닝 컴포즈콤보(4,200원)"
카페구들,카페,자양동,서울 광진구 자양번영로3길 4,4.7,"에스프레소(HOT)(3,000원), 아메리카노(HOT)(3,500원), 카페라떼(HOT)(4,000원), 플랫화이트(HOT)(4,000원)"
뚜리움,커피전문점,자양동,서울 광진구 뚝섬로56가길 13 현대3차아파트 상가 1층 102호,5.0,"플레인 쌀 소금빵(3,000원)"
뚠뚠커피,카페,자양동,서울 광진구 뚝섬로52마길 49 1층,4.0,
모몽드,커피전문점,자양동,서울 광진구 뚝섬로32가길 12 반지하 B01호,5.0,"누텔라크로플(3,500원)"
카페온,카페,자양동,서울 광진구 능동로4길 3 1층,,와인(변동가격)
오하이오 커피하우스,카페,자양동,서울 광진구 자양로13길 103 1층,5.0,"동양자커피(4,500원), 헤림커피(4,500원), 라떼(3,500원), 레드애플 에이드(4,000원), 아메리카노(3,000원)"
카페파드,카페,자양동,서울 광진구 뚝섬로22가길 60 1층,4.9,"과일에이드(5,000원), 아메리카노(3,500원), 카페라떼(4,000원), 바닐라빈라떼(5,000원), 아이스티(4,000원), 초코라떼(4,500원), 테이크아웃 아메리카노(2,500원), 카푸치노(4,000원), 캬라멜마끼아또(5,000원), 돌체라떼(5,000원), 콜드브루 디카페인(4,500원), 녹차라떼(4,500원), 토피넛라떼(5,000원), 오미자라떼(only ice)(5,000원), 오미자티(4,500원), 자몽블랙티(5,000원), 유자히비스커스티(5,000원), 레몬진저티(5,000원), 스트로베리민트티(4,500원), 유기농루이보스티(4,500원), 자스민 우롱티(4,500원)"
이디야커피 건대스타시티2호점,커피전문점,자양동,서울 광진구 능동로 92 스타시티몰 지하2층 201호,5.0,
